bird_species,mean_beak_to_body_ratio,median_beak_to_body_ratio,bird_species_cleaned,actual_beak_to_body_ratio,body_length,estimated_beak_to_body_ratio_median,estimated_beak_to_body_ratio_mean,estimated_beak_length_median,estimated_beak_length_mean,difference_median,difference_mean
001.Black_footed_Albatross,0.4291454545454545,0.0487,Black footed albatross,0.132808399,762.0,0.0487,0.4291454545454545,37.1094,327.0088363636363,0.084108399,0.29633705554545453
002.Laysan_Albatross,0.9875111111111112,0.1612,Laysan Albatross,0.1328740157,812.8,0.1612,0.9875111111111112,131.02336,802.6490311111112,0.028325984300000023,0.8546370954111112
003.Sooty_Albatross,0.6814782608695651,0.0481,Sooty Albatross,0.1281176471,850.0,0.0481,0.6814782608695651,40.885,579.2565217391303,0.0800176471,0.553360613769565
004.Groove_billed_Ani,0.2454761904761905,0.0581,Grooved-bill ani,0.07911764706,340.0,0.0581,0.2454761904761905,19.754,83.46190476190476,0.021017647060000005,0.1663585434161905
005.Crested_Auklet,0.078164,0.0179,Crested Auklet,0.08791666667,240.0,0.0179,0.078164,4.295999999999999,18.75936,0.07001666667,0.009752666670000007
006.Least_Auklet,0.091696,0.0135,Least Auklet,0.1,150.0,0.0135,0.091696,2.025,13.7544,0.08650000000000001,0.008304000000000006
007.Parakeet_Auklet,0.1119738095238095,0.026,Parakeet Auklet,0.08739130435,230.0,0.026,0.1119738095238095,5.9799999999999995,25.753976190476187,0.06139130435000001,0.0245825051738095
008.Rhinoceros_Auklet,0.9485888888888884,0.06715,Rhinoceros Auklet,0.07285714286,350.0,0.06715,0.9485888888888884,23.5025,332.00611111111095,0.00570714286,0.8757317460288884
009.Brewer_Blackbird,0.1071977777777778,0.0263,Brewer Blackbird,0.09777623951,231.14,0.0263,0.1071977777777778,6.078982,24.777694355555557,0.07147623951,0.009421538267777793
012.Yellow_headed_Blackbird,0.051947619047619,0.03975,Yellow-headed blackbird,0.1107283465,203.2,0.03975,0.051947619047619,8.0772,10.55575619047618,0.07097834650000001,0.058780727452381006
013.Bobolink,0.1967326923076923,0.07195,Bobolink,0.08503937008,190.5,0.07195,0.1967326923076923,13.706475,37.477577884615386,0.013089370079999996,0.11169332222769231
014.Indigo_Bunting,0.0547652173913043,0.0242,Indigo Bunting,0.09,130.0,0.0242,0.0547652173913043,3.146,7.119478260869559,0.0658,0.0352347826086957
019.Gray_Catbird,0.0638,0.0183,Gray Catbird,0.08893006021,215.9,0.0183,0.0638,3.9509700000000003,13.77442,0.07063006021,0.02513006021
